List Sr.No.,Set No.,2025 Set,Name,Country,Age,Specialism,,,2024 Team,2024 IPL,C/U/A,Reserve Price Rs Lakh
439,61,AL8,Shakib Al Hasan,Bangladesh,38,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Capped,100
440,61,AL8,Mehidy Hasan Miraz,Bangladesh,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Capped,100
441,61,AL8,Wiaan Mulder,South Africa,27,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,Capped,75
442,61,AL8,Dwaine Pretorius,South Africa,36,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Capped,75
443,61,AL8,Dasun Shanaka,Sri Lanka,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,Capped,75
444,62,FA8,Shoriful Islam,Bangladesh,23,BOWLER,LHB,LEFT ARM Fast Medium,,,Capped,75
445,62,FA8,Blessing Muzarabani,Zimbabwe,28,BOWLER,RHB,RIGHT ARM Fast,,,Capped,75
446,62,FA8,Matthew Potts,England,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,Capped,150
447,62,FA8,Tanzim Hasan Sakib,Bangladesh,22,BOWLER,RHB,RIGHT ARM Fast,,,Capped,75
448,62,FA8,Benjamin Sears,New Zealand,27,BOWLER,RHB,RIGHT ARM Fast,,,Capped,100
449,62,FA8,Tim Southee,New Zealand,36,BOWLER,RHB,RIGHT ARM Fast Medium,,,Capped,150
450,62,FA8,John Turner,England,23,BOWLER,RHB,RIGHT ARM Fast,,,Capped,150
451,63,UBA8,Joshua Brown,Australia,31,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
452,63,UBA8,Oliver Davies,Australia,24,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
453,63,UBA8,Bevan John Jacobs,New Zealand,22,BATTER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
454,63,UBA8,Atharva Kale,India,25,BATTER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
455,63,UBA8,Abhishek Nair,India,20,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
456,63,UBA8,Vishwanath Pratap Singh,India,26,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
457,64,UAL8,Nasir Lone,India,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
458,64,UAL8,Brandon McMullen,Scotland,25,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,Associate,30
459,64,UAL8,S. Midhun,India,30,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
460,64,UAL8,Abid Mushtaq,India,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
461,64,UAL8,Mahesh Pithiya,India,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
462,64,UAL8,Maramreddy Reddy,India,22,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
463,64,UAL8,Atit Sheth,India,29,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
464,64,UAL8,Jonty Sidhu,India,27,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
465,65,UFA8,Mohit Avasthi,India,32,BOWLER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
466,65,UFA8,Faridoon Dawoodzai,Afghanistan,19,BOWLER,LHB,LEFT ARM Fast Medium,,,Uncapped,30
467,65,UFA8,Praful Hinge,India,23,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
468,65,UFA8,Pankaj Jaswal,India,29,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
469,65,UFA8,Vijay Kumar,India,19,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
470,65,UFA8,Ashok Sharma,India,22,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
471,65,UFA8,Mujtaba Yousuf,India,22,BOWLER,LHB,LEFT ARM Fast Medium,,,Uncapped,30
472,66,AL9,Ashton Agar,Australia,31,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Capped,125
473,66,AL9,Roston Chase,West Indies,33,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Capped,75
474,66,AL9,Junior Dala,South Africa,35,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,Capped,75
475,66,AL9,Mahedi Hasan,Bangladesh,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Capped,75
476,66,AL9,Nangeyalia Kharote,Afghanistan,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Capped,75
477,66,AL9,Dan Lawrence,England,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Capped,100
478,66,AL9,Nathan Smith,New Zealand,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,Capped,100
479,67,FA9,James Anderson,England,42,BOWLER,LHB,RIGHT ARM Fast,,,Capped,125
480,67,FA9,Kyle Jamieson,New Zealand,30,BOWLER,RHB,RIGHT ARM Fast,,,Capped,150
481,67,FA9,Chris Jordan,England,36,BOWLER,RHB,RIGHT ARM Fast,,,Capped,200
482,67,FA9,Hasan Mahmud,Bangladesh,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,Capped,75
483,67,FA9,Tymal Mills,England,32,BOWLER,RHB,LEFT ARM Fast,,,Capped,200
484,67,FA9,David Payne,England,34,BOWLER,RHB,LEFT ARM Fast Medium,,,Capped,100
485,67,FA9,Nahid Rana,Bangladesh,22,BOWLER,RHB,RIGHT ARM Fast,,,Capped,75
486,68,UBA9,Prayas Ray Barman,India,22,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
487,68,UBA9,Jafar Jamal,India,35,BATTER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
488,68,UBA9,Ayaz Khan,India,22,BATTER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
489,68,UBA9,Kaushik Maity,India,25,BATTER,RHB,LEFT ARM Slow Orthodox,,,Uncapped,30
490,68,UBA9,Rituraj Sharma,India,22,BATTER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
491,68,UBA9,Vaibhav Suryavanshi,India,14,BATTER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
492,69,UAL9,Kartik Chadha,India,21,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,,,Uncapped,30
493,69,UAL9,Writtick Chatterjee,India,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
494,69,UAL9,Prerit Dutta,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
495,69,UAL9,Rajneesh Gurbani,India,32,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
496,69,UAL9,Shubhang Hegde,India,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
497,69,UAL9,Saransh Jain,India,32,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
498,69,UAL9,Ripal Patel,India,29,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,Uncapped,30
499,69,UAL9,Akash Vashisht,India,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
500,70,UFA9,Anirudh Kanwar,India,31,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
501,70,UFA9,Shubham Kapse,India,30,BOWLER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
502,70,UFA9,Atif Mushtaq,India,22,BOWLER,LHB,RIGHT ARM Fast,,,Uncapped,30
503,70,UFA9,Dipesh Parwani,India,25,BOWLER,LHB,LEFT ARM Fast Medium,,,Uncapped,30
504,70,UFA9,Manish Reddy,India,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
505,70,UFA9,Chetan Sharma,India,19,BOWLER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
506,70,UFA9,Avinash Singh,India,26,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
507,72,AL10,Alick Athanaze,West Indies,26,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,Capped,75
508,72,AL10,Hilton Cartwright,Australia,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,Capped,75
509,72,AL10,Dominic Drakes,West Indies,27,ALL-ROUNDER,LHB,LEFT ARM Fast,,,Capped,125
510,72,FA10,Daryn Dupavillon,South Africa,30,BOWLER,RHB,RIGHT ARM Fast,,,Capped,75
511,72,AL10,Matthew Forde,West Indies,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Capped,125
512,72,AL10,Patrick Kruger,South Africa,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Capped,75
513,72,FA10,Lahiru Kumara,Sri Lanka,28,BOWLER,LHB,RIGHT ARM Fast,,,Capped,75
514,72,AL10,Michael Neser,Australia,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Capped,75
515,72,FA10,Richard Ngarava,Zimbabwe,27,BOWLER,LHB,LEFT ARM Fast Medium,,,Capped,75
516,72,FA10,Wayne Parnell,South Africa,35,BOWLER,LHB,LEFT ARM Fast Medium,,,Capped,100
517,72,AL10,Keemo Paul,West Indies,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,Capped,125
518,72,AL10,Odean Smith,West Indies,28,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,Capped,75
519,72,FA10,Andrew Tye,Australia,38,BOWLER,RHB,RIGHT ARM Fast Medium,,,Capped,75
520,73,UAL10,Ajay Ahlawat,India,27,ALL-ROUNDER,LHB,LEFT ARM Fast,,,Uncapped,40
521,73,UAL10,Corbin Bosch,South Africa,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,Uncapped,30
522,73,UAL10,Mayank Gusain,India,23,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,Uncapped,30
523,73,UAL10,Mukhtar Hussain,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
524,73,UAL10,Girinath Reddy,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
525,73,UAL10,Jalaj Saxena,India,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,40
526,73,UAL10,Yajas Sharma,India,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
527,73,UAL10,Sanjay Yadav,India,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
528,74,UFA10,Vishal Godara,India,22,BOWLER,LHB,RIGHT ARM Medium,,,Uncapped,30
529,74,UFA10,Eshan Malinga,Sri Lanka,24,BOWLER,LHB,RIGHT ARM Fast,,,Uncapped,30
530,74,UFA10,Samarth Nagraj,India,19,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
531,74,UFA10,Abhishek Saini,India,26,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
532,74,UFA10,Dumindu Sewmina,Sri Lanka,20,BOWLER,RHB,RIGHT ARM Medium,,,Uncapped,30
533,74,UFA10,Pradyuman Kumar Singh,India,23,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
534,74,UFA10,Vasu Vats,India,22,BOWLER,RHB,RIGHT ARM Fast,,,Uncapped,30
535,75,UAL11,Umang Kumar,India,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
536,75,UAL11,Mohamed Ali,India,20,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
537,75,UAL11,Atharva Ankolekar,India,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
538,75,UAL11,Vaisakh Chandran,India,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
539,75,UAL11,Auqib Dar,India,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
540,75,UAL11,Rohit Rayudu,India,30,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
541,75,UAL11,Uday Saharan,India,20,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
542,75,UAL11,Ayush Vartak,India,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
543,76,UAL12,Baba Aparajith,India,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
544,76,UAL12,Sumit Kumar Beniwal,India,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,Uncapped,30
545,76,UAL12,Nishunk Birla,India,20,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,Uncapped,30
546,76,UAL12,Digvijay Deshmukh,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
547,76,UAL12,Lakshay Jain,India,22,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
548,76,UAL12,Duan Jansen,South Africa,24,ALL-ROUNDER,RHB,LEFT ARM Fast,,,Uncapped,30
549,76,UAL12,Kritagya Singh,India,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
550,76,UAL12,P. Vignesh,India,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
551,77,UAL13,Sabhay Chadha,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
552,77,UAL13,Ben Howell,England,36,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,Uncapped,50
553,77,UAL13,Hemanth Kumar,India,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
554,77,UAL13,Rohan Rana,India,23,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,Uncapped,30
555,77,UAL13,Bharat Sharma,India,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
556,77,UAL13,Pratham Singh,India,32,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,Uncapped,30
557,77,UAL13,Tripurana Vijay,India,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
558,77,UAL13,Ravi Yadav,India,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
559,78,UAL14,Arjun Azad,India,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
560,78,UAL14,Abhay Choudhary,India,22,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
561,78,UAL14,Gaurav Gambhir,India,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
562,78,UAL14,Shubham Garhwal,India,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
563,78,UAL14,Tejasvi Jaiswal,India,28,ALL-ROUNDER,LHB,RIGHT ARM Fast,,,Uncapped,30
564,78,UAL14,Sairaj Patil,India,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
565,78,UAL14,Madhav Tiwari,India,21,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
566,78,UAL14,Kamal Tripathi,India,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
567,79,UAL15,Prashant Chauhan,India,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,Uncapped,30
568,79,UAL15,Yash Dabas,India,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,Uncapped,30
569,79,UAL15,Dhruv Kaushik,India,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
570,79,UAL15,Khrievitso Kense,India,21,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,Uncapped,30
571,79,UAL15,Akash Parkar,India,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,Uncapped,30
572,79,UAL15,Vignesh Puthur,India,24,ALL-ROUNDER,RHB,LEFT ARM Slow Unorthodox,,,Uncapped,30
573,79,UAL15,Tripuresh Singh,India,22,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,Uncapped,30
574,79,UAL15,Vijay Yadav,India,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,Uncapped,30
